ID,X,Y,Z,TxPowerdBm,Hdirection,VTilt,Active,Alias
33,100.000001,-519.615241,25.000000,41.000000,60.000000,0,1,9
34,300.000001,-519.615241,25.000000,41.000000,60.000000,0,1,13
35,400.000000,-346.410161,25.000000,41.000000,60.000000,0,1,12
36,500.000000,-173.205081,25.000000,41.000000,60.000000,0,1,11
37,799.999999,-0.000002,25.000000,41.000000,60.000000,0,1,16
38,699.999999,173.205079,25.000000,41.000000,60.000000,0,1,5
39,599.999999,346.410159,25.000000,41.000000,60.000000,0,1,4
40,499.999998,519.615240,25.000000,41.000000,60.000000,0,1,12
41,399.999998,692.820320,25.000000,41.000000,60.000000,0,1,18
42,199.999998,692.820320,25.000000,41.000000,60.000000,0,1,6
43,-0.000001,692.820321,25.000000,41.000000,60.000000,0,1,5
44,-200.000001,692.820321,25.000000,41.000000,60.000000,0,1,14
45,-400.000001,692.820322,25.000000,41.000000,60.000000,0,1,8
46,-500.000000,519.615242,25.000000,41.000000,60.000000,0,1,1
47,-600.000000,346.410162,25.000000,41.000000,60.000000,0,1,6
48,-700.000000,173.205082,25.000000,41.000000,60.000000,0,1,16
49,-799.999999,0.000002,25.000000,41.000000,60.000000,0,1,10
50,-699.999999,-173.205079,25.000000,41.000000,60.000000,0,1,2
51,-599.999999,-346.410159,25.000000,41.000000,60.000000,0,1,1
52,-499.999998,-519.615240,25.000000,41.000000,60.000000,0,1,18
53,-399.999998,-692.820320,25.000000,41.000000,60.000000,0,1,12
54,-199.999998,-692.820320,25.000000,41.000000,60.000000,0,1,3
55,0.000001,-692.820321,25.000000,41.000000,60.000000,0,1,2
56,200.000001,-692.820321,25.000000,41.000000,60.000000,0,1,8
57,400.000001,-692.820322,25.000000,41.000000,60.000000,0,1,14
58,500.000000,-519.615242,25.000000,41.000000,60.000000,0,1,4
59,600.000000,-346.410162,25.000000,41.000000,60.000000,0,1,3
60,700.000000,-173.205082,25.000000,41.000000,60.000000,0,1,10
61,999.999999,-0.000002,25.000000,41.000000,60.000000,0,1,17
62,899.999999,173.205078,25.000000,41.000000,60.000000,0,1,6
63,799.999998,346.410159,25.000000,41.000000,60.000000,0,1,0
64,699.999998,519.615239,25.000000,41.000000,60.000000,0,1,3
65,599.999998,692.820320,25.000000,41.000000,60.000000,0,1,11
66,499.999998,866.025400,25.000000,41.000000,60.000000,0,1,7
67,299.999998,866.025400,25.000000,41.000000,60.000000,0,1,1
68,99.999998,866.025401,25.000000,41.000000,60.000000,0,1,0
69,-100.000002,866.025401,25.000000,41.000000,60.000000,0,1,4
70,-300.000001,866.025402,25.000000,41.000000,60.000000,0,1,13
