ID,X,Y,Z,HDirection,HWidth,VTilt
167 , 599.999999 , 346.410159 , 25.000000 , 180.000000 , 65.000000 , 0.000000
168 , 499.999998 , 519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
169 , 399.999998 , 692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
170 , 199.999998 , 692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
171 , -0.000001 , 692.820321 , 25.000000 , 180.000000 , 65.000000 , 0.000000
172 , -200.000001 , 692.820321 , 25.000000 , 180.000000 , 65.000000 , 0.000000
173 , -400.000001 , 692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
174 , -500.000000 , 519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
175 , -600.000000 , 346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
176 , -700.000000 , 173.205082 , 25.000000 , 180.000000 , 65.000000 , 0.000000
177 , -799.999999 , 0.000002 , 25.000000 , 180.000000 , 65.000000 , 0.000000
178 , -699.999999 , -173.205079 , 25.000000 , 180.000000 , 65.000000 , 0.000000
179 , -599.999999 , -346.410159 , 25.000000 , 180.000000 , 65.000000 , 0.000000
180 , -499.999998 , -519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
181 , -399.999998 , -692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
182 , -199.999998 , -692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
183 , 0.000001 , -692.820321 , 25.000000 , 180.000000 , 65.000000 , 0.000000
184 , 200.000001 , -692.820321 , 25.000000 , 180.000000 , 65.000000 , 0.000000
185 , 400.000001 , -692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
186 , 500.000000 , -519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
187 , 600.000000 , -346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
188 , 700.000000 , -173.205082 , 25.000000 , 180.000000 , 65.000000 , 0.000000
189 , 999.999999 , -0.000002 , 25.000000 , 180.000000 , 65.000000 , 0.000000
190 , 899.999999 , 173.205078 , 25.000000 , 180.000000 , 65.000000 , 0.000000
191 , 799.999998 , 346.410159 , 25.000000 , 180.000000 , 65.000000 , 0.000000
192 , 699.999998 , 519.615239 , 25.000000 , 180.000000 , 65.000000 , 0.000000
193 , 599.999998 , 692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
194 , 499.999998 , 866.025400 , 25.000000 , 180.000000 , 65.000000 , 0.000000
195 , 299.999998 , 866.025400 , 25.000000 , 180.000000 , 65.000000 , 0.000000
196 , 99.999998 , 866.025401 , 25.000000 , 180.000000 , 65.000000 , 0.000000
197 , -100.000002 , 866.025401 , 25.000000 , 180.000000 , 65.000000 , 0.000000
198 , -300.000001 , 866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
199 , -500.000001 , 866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
200 , -600.000001 , 692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
201 , -700.000000 , 519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
202 , -800.000000 , 346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
203 , -899.999999 , 173.205082 , 25.000000 , 180.000000 , 65.000000 , 0.000000
204 , -999.999999 , 0.000002 , 25.000000 , 180.000000 , 65.000000 , 0.000000
205 , -899.999999 , -173.205078 , 25.000000 , 180.000000 , 65.000000 , 0.000000
206 , -799.999998 , -346.410159 , 25.000000 , 180.000000 , 65.000000 , 0.000000
207 , -699.999998 , -519.615239 , 25.000000 , 180.000000 , 65.000000 , 0.000000
208 , -599.999998 , -692.820320 , 25.000000 , 180.000000 , 65.000000 , 0.000000
209 , -499.999998 , -866.025400 , 25.000000 , 180.000000 , 65.000000 , 0.000000
210 , -299.999998 , -866.025400 , 25.000000 , 180.000000 , 65.000000 , 0.000000
211 , -99.999998 , -866.025401 , 25.000000 , 180.000000 , 65.000000 , 0.000000
212 , 100.000002 , -866.025401 , 25.000000 , 180.000000 , 65.000000 , 0.000000
213 , 300.000001 , -866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
214 , 500.000001 , -866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
215 , 600.000001 , -692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
216 , 700.000000 , -519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
217 , 800.000000 , -346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
218 , 899.999999 , -173.205082 , 25.000000 , 180.000000 , 65.000000 , 0.000000
219 , 1099.999998 , 173.205078 , 25.000000 , 180.000000 , 65.000000 , 0.000000
220 , 999.999998 , 346.410158 , 25.000000 , 180.000000 , 65.000000 , 0.000000
221 , 899.999998 , 519.615239 , 25.000000 , 180.000000 , 65.000000 , 0.000000
222 , 799.999998 , 692.820319 , 25.000000 , 180.000000 , 65.000000 , 0.000000
223 , 399.999998 , 1039.230480 , 25.000000 , 180.000000 , 65.000000 , 0.000000
