ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
530,-191.881623,95.481924,16.500000,1,0,96.202681,4
531,-142.574754,-65.489677,10.500000,1,0,88.299528,4
532,-120.894754,3.981434,10.500000,1,0,80.521685,4
533,-216.196320,69.954938,13.500000,1,0,72.720452,4
534,-70.470266,-193.645679,1.500000,0,1,42.919381,5
535,-66.963995,-221.888467,1.500000,1,0,63.353767,5
536,-179.607553,-195.475568,10.500000,1,0,83.926082,5
537,-119.233927,-180.054402,7.500000,1,0,26.890652,5
538,-137.739512,-90.568693,13.500000,1,0,91.571247,5
539,-193.682629,-139.812051,22.500000,1,0,99.487584,5
540,-193.237883,-221.235375,1.500000,0,1,107.482380,5
541,-50.175882,-236.533713,1.500000,0,1,83.935740,5
542,-155.825126,-115.484829,7.500000,1,0,82.184684,5
543,-115.335931,-153.854000,7.500000,1,0,30.263924,5
544,-38.259460,-130.200751,1.500000,1,0,78.825862,5
545,-77.573853,-118.994045,16.500000,1,0,59.279156,5
546,-145.109606,-218.983299,1.500000,1,0,68.430782,5
547,-42.709778,-181.405478,10.500000,1,0,59.662936,5
548,-130.944548,-204.045079,4.500000,1,0,48.258892,5
549,-83.512340,-255.360431,22.500000,1,0,83.830750,5
550,-18.821760,-232.373908,10.500000,1,0,101.494368,5
551,-65.236360,-119.326647,1.500000,1,0,68.290894,5
552,-19.223871,-110.764990,4.500000,1,0,104.133558,5
553,-47.806849,-132.292396,10.500000,1,0,67.883891,5
554,-183.252010,-182.382012,1.500000,0,1,86.990594,5
555,-117.201341,-202.033308,13.500000,1,0,35.485249,5
556,-97.766840,-112.058472,10.500000,1,0,62.881990,5
557,-72.271097,-91.514446,1.500000,0,1,89.411978,5
558,-0.918767,-146.338758,13.500000,1,0,103.301210,5
559,-129.642822,-264.058325,1.500000,0,1,98.413714,5
560,-133.803025,-171.478135,1.500000,0,1,41.205302,5
561,-112.469911,-244.577405,1.500000,0,1,76.169268,5
562,-84.928047,-224.896712,7.500000,1,0,56.616593,5
563,-29.472835,-182.650114,19.500000,1,0,71.369038,5
564,122.435623,-137.229270,1.500000,0,1,48.475417,6
565,189.100910,-213.171710,1.500000,0,1,100.441792,6
566,117.016130,-192.514212,1.500000,0,1,34.851704,6
567,46.822512,-177.434479,19.500000,1,0,53.628193,6
568,79.908475,-145.328439,1.500000,0,1,41.629635,6
569,177.741198,-133.635459,16.500000,1,0,87.645301,6
570,102.189012,-204.687737,7.500000,1,0,36.086000,6
571,186.258037,-187.121688,13.500000,1,0,88.127015,6
572,19.393087,-232.363568,7.500000,1,0,101.505917,6
573,19.890756,-112.117644,7.500000,1,0,102.251728,6
574,179.403861,-180.299364,13.500000,1,0,80.545341,6
575,170.016511,-133.323668,7.500000,1,0,82.456588,6
576,86.140563,-71.211052,1.500000,0,1,105.579903,6
577,119.910015,-144.402255,19.500000,1,0,35.443778,6
578,23.019683,-109.535811,4.500000,1,0,101.980367,6
579,127.064976,-159.723502,7.500000,1,0,34.935882,6
580,183.049438,-178.656794,4.500000,1,0,85.715695,6
581,71.106210,-120.203158,16.500000,1,0,60.961503,6
582,21.259503,-194.974201,7.500000,1,0,83.547654,6
583,109.190914,-158.152440,7.500000,1,0,24.845621,6
584,110.497243,-144.873198,22.500000,1,0,30.317284,6
585,26.857433,-116.530838,10.500000,1,0,93.659249,6
586,186.667965,-140.092997,7.500000,1,0,94.413962,6
587,171.185912,-117.348372,4.500000,1,0,92.777453,6
588,180.978903,-170.176737,1.500000,0,1,84.374188,6
589,113.855494,-124.544710,19.500000,1,0,50.892597,6
590,89.113848,-76.111491,10.500000,1,0,98.772078,6
591,6.098323,-143.954864,10.500000,1,0,99.415040,6
592,17.735178,-189.687231,7.500000,1,0,85.705381,6
593,142.798070,-104.520441,19.500000,1,0,81.114145,6
594,449.932969,66.511599,7.500000,1,0,84.990260,7
595,396.871511,36.296657,1.500000,1,0,43.353025,7
596,333.340527,-11.758428,4.500000,1,0,70.724790,7
597,330.099451,-14.865319,13.500000,1,0,72.383109,7
598,425.147416,86.387385,4.500000,1,0,92.279049,7
599,402.392163,114.071765,13.500000,1,0,114.674932,7
